Athlete,Country,Gender,Discipline,Event,Year,Medal
"SALFICKY, Dusan",CZE,Men,Ice Hockey,Ice Hockey,2006,Bronze
"SALLAY, Andras",HUN,Men,Figure skating,Ice Dancing,1980,Silver
"SALMINEN, Sakari",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"SALO, Paivi",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"SALO, Sami",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"SALO, Sami",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"SALO, Sami",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"SALO, Teemu",FIN,Men,Curling,Curling,2006,Silver
"SALO, Tommy",SWE,Men,Ice Hockey,Ice Hockey,1994,Gold
"SALONEN, Toivo",FIN,Men,Speed skating,1500M,1956,Bronze
"SALZMANN, Urs",SUI,Men,Bobsleigh,Four-Man,1984,Bronze
"SAMKOVA, Eva",CZE,Women,Snowboard,Snowboard Cross,2014,Gold
"SAMOLENKO, George",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"SAMOYLOV, Vitali",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"SAMPSON, Edward Horace",USA,Men,Ice Hockey,Ice Hockey,1956,Silver
"SAMSONOV, Sergei",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"SAMUELSSON, Evelina",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"SAMUELSSON, Gunnar",SWE,Men,Cross Country Skiing,4X10KM Relay,1956,Bronze
"SAMUELSSON, Mikael",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"SAMUELSSON, Tommy",SWE,Men,Ice Hockey,Ice Hockey,1980,Bronze
"SAMUELSSON, Tommy",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"SANDBECH, Staale",NOR,Men,Snowboard,Slopestyle,2014,Silver
"SANDBERG, Tom",NOR,Men,Nordic Combined,Individual,1984,Gold
"SANDERS, Franklynn",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"SANDLER, Örjan",SWE,Men,Speed skating,10000M,1968,Bronze
"SANDSTROEM, Thomas",SWE,Men,Ice Hockey,Ice Hockey,1984,Bronze
"SANDSTRÖM, Ulf",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"SANFRATELLO, Ippolito",ITA,Men,Speed skating,Team Pursuit,2006,Gold
"SARNER, Craig",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"SATOYA, Tae",JPN,Women,Freestyle Skiing,Moguls,1998,Gold
"SATOYA, Tae",JPN,Women,Freestyle Skiing,Moguls,2002,Bronze
"SAUBERT, Jean",USA,Women,Alpine Skiing,Giant Slalom,1964,Silver
"SAUBERT, Jean",USA,Women,Alpine Skiing,Slalom,1964,Bronze
"SAUERBREIJ, Nicolien",NED,Women,Snowboard,Giant Parallel Slalom,2010,Gold
"SAVAGE, Brian",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"SAVAGE, Paul",CAN,Men,Curling,Curling,1998,Silver
"SAVCHENKO, Aliona",GER,Women,Figure skating,Pairs,2010,Bronze
"SAVCHENKO, Aliona",GER,Women,Figure skating,Pairs,2014,Bronze
"SAVELYEV, Sergey",URS,Men,Cross Country Skiing,30KM Mass Start,1976,Gold
"SAVELYEV, Sergey",URS,Men,Cross Country Skiing,4X10KM Relay,1976,Bronze
"SAVOLAINEN, Jaana",FIN,Women,Cross Country Skiing,4X5KM Relay,1988,Bronze
"SCERBAN, Bedrich",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"SCHAAD, Andreas",SUI,Men,Nordic Combined,Team,1988,Silver
"SCHAAD, Andreas",SUI,Men,Nordic Combined,Team,1994,Bronze
"SCHAAF, Petra",GER,Women,Biathlon,4X7.5KM Relay,1992,Silver
"SCHAAF, Petra",GER,Women,Biathlon,4X7.5KM Relay,1994,Silver
"SCHACHNER, Franz",AUT,Men,Luge,Doubles,1976,Bronze
"SCHÄFER, Karl",AUT,Men,Figure skating,Individual,1932,Gold
"SCHÄFER, Karl",AUT,Men,Figure skating,Individual,1936,Gold
"SCHÄRER, Erich",SUI,Men,Bobsleigh,Four-Man,1976,Silver
"SCHÄRER, Erich",SUI,Men,Bobsleigh,Two-Man,1976,Bronze
"SCHÄRER, Erich",SUI,Men,Bobsleigh,Four-Man,1980,Silver
"SCHÄRER, Erich",SUI,Men,Bobsleigh,Two-Man,1980,Gold
"SCHAUERHAMMER, Dietmar",GDR,Men,Bobsleigh,Four-Man,1984,Gold
"SCHAUERHAMMER, Dietmar",GDR,Men,Bobsleigh,Two-Man,1984,Gold
"SCHAUERHAMMER, Dietmar",GDR,Men,Bobsleigh,Four-Man,1988,Silver
"SCHAUS, Molly",USA,Women,Ice Hockey,Ice Hockey,2010,Silver
"SCHAUS, Molly",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"SCHEIDEL, Wolfgang",GDR,Men,Luge,Singles,1972,Gold
"SCHELLING, Florence",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"SCHEMPP, Simon",GER,Men,Biathlon,4X7.5KM Relay,2014,Silver
"SCHENK, Ard",NED,Men,Speed skating,1500M,1968,Silver
"SCHENK, Ard",NED,Men,Speed skating,10000M,1972,Gold
"SCHENK, Ard",NED,Men,Speed skating,1500M,1972,Gold
"SCHENK, Ard",NED,Men,Speed skating,5000M,1972,Gold
"SCHENK, Franziska",GER,Women,Speed skating,500M,1994,Bronze
"SCHERRER, Eduard",SUI,Men,Bobsleigh,Four-Man,1924,Gold
"SCHIFFERER, Andreas",AUT,Men,Alpine Skiing,Super-G,2002,Bronze
"SCHILD, Marlies",AUT,Women,Alpine Skiing,Alpine Combined,2006,Silver
"SCHILD, Marlies",AUT,Women,Alpine Skiing,Slalom,2006,Bronze
"SCHILD, Marlies",AUT,Women,Alpine Skiing,Slalom,2010,Silver
"SCHILD, Marlies",AUT,Women,Alpine Skiing,Slalom,2014,Silver
"SCHILD, Martina",SUI,Women,Alpine Skiing,Downhill,2006,Silver
"SCHINDELHOLZ, Lorenz",SUI,Men,Bobsleigh,Four-Man,1992,Bronze
"SCHJELDERUP, Thorleif",NOR,Men,Ski Jumping,K90 Individual (70M),1948,Bronze
"SCHLÄPPI, Alfred",SUI,Men,Bobsleigh,Four-Man,1924,Gold
"SCHLÄPPI, Heinrich",SUI,Men,Bobsleigh,Four-Man,1924,Gold
"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"SCHLEPER, Anne",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"SCHLICKENRIEDER, Peter",GER,Men,Cross Country Skiing,Sprint 1.5KM,2002,Silver
"SCHLIERENZAUER, Gregor",AUT,Men,Ski Jumping,K120 Individual (90M),2010,Bronze
"SCHLIERENZAUER, Gregor",AUT,Men,Ski Jumping,K120 Team (90M),2010,Gold
"SCHLIERENZAUER, Gregor",AUT,Men,Ski Jumping,K90 Individual (70M),2010,Bronze
"SCHLIERENZAUER, Gregor",AUT,Men,Ski Jumping,Teams,2014,Silver
"SCHLODER, Alois",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"SCHLUETTER, Andreas",GER,Men,Cross Country Skiing,4X10KM Relay,2002,Bronze
"SCHLUETTER, Andreas",GER,Men,Cross Country Skiing,4X10KM Relay,2006,Silver
"SCHLUNEGGER, Hedy",SUI,Women,Alpine Skiing,Downhill,1948,Gold
"SCHMID, Manfred",AUT,Men,Luge,Doubles,1968,Silver
"SCHMID, Manfred",AUT,Men,Luge,Singles,1968,Gold
"SCHMID, Michael",SUI,Men,Freestyle Skiing,Ski Cross,2010,Gold
"SCHMID, Rudolf",AUT,Men,Luge,Doubles,1976,Bronze
"SCHMIDT, Bettina",GDR,Women,Luge,Singles,1984,Silver
"SCHMIDT, Cerstin",GDR,Women,Luge,Singles,1988,Bronze
"SCHMIDT, Markus",AUT,Men,Luge,Singles,1992,Bronze
"SCHMIDT, Rainer",GDR,Men,Ski Jumping,K120 Individual (90M),1972,Bronze
"SCHMIDT, Veronika",GDR,Women,Cross Country Skiing,4X5KM Relay,1976,Bronze
"SCHMIDT, Veronika",GDR,Women,Cross Country Skiing,4X5KM Relay,1980,Gold
"SCHMIRLER, Sandra",CAN,Women,Curling,Curling,1998,Gold
"SCHMITT, Martin",GER,Men,Ski Jumping,K120 Team (90M),1998,Silver
"SCHMITT, Martin",GER,Men,Ski Jumping,K120 Team (90M),2002,Gold
"SCHMITT, Martin",GER,Men,Ski Jumping,K120 Team (90M),2010,Silver
"SCHMUCK, Christa",FRG,Women,Luge,Singles,1968,Silver
"SCHNABL, Karl",AUT,Men,Ski Jumping,K120 Individual (90M),1976,Gold
"SCHNABL, Karl",AUT,Men,Ski Jumping,K90 Individual (70M),1976,Bronze
"SCHNEIDER, Othmar",AUT,Men,Alpine Skiing,Downhill,1952,Silver
"SCHNEIDER, Othmar",AUT,Men,Alpine Skiing,Slalom,1952,Gold
"SCHNEIDER, Vreni",SUI,Women,Alpine Skiing,Giant Slalom,1988,Gold
"SCHNEIDER, Vreni",SUI,Women,Alpine Skiing,Slalom,1988,Gold
"SCHNEIDER, Vreni",SUI,Women,Alpine Skiing,Alpine Combined,1994,Silver
"SCHNEIDER, Vreni",SUI,Women,Alpine Skiing,Giant Slalom,1994,Bronze
"SCHNEIDER, Vreni",SUI,Women,Alpine Skiing,Slalom,1994,Gold
"SCHNEIDER, William",USA,Men,Ice Hockey,Ice Hockey,1980,Gold
"SCHNEIDERHEINZE, Anja",GER,Women,Bobsleigh,Two-Man,2006,Gold
"SCHNELLDORFER, Manfred",EUA,Men,Figure skating,Individual,1964,Gold
"SCHOCH, Philipp",SUI,Men,Snowboard,Giant Parallel Slalom,2002,Gold
"SCHOCH, Philipp",SUI,Men,Snowboard,Giant Parallel Slalom,2006,Gold
"SCHOCH, Simon",SUI,Men,Snowboard,Giant Parallel Slalom,2006,Silver
"SCHOENFELDER, Rainer",AUT,Men,Alpine Skiing,Alpine Combined,2006,Bronze
"SCHOENFELDER, Rainer",AUT,Men,Alpine Skiing,Slalom,2006,Bronze
"SCHÖFISCH, René",GDR,Men,Speed skating,10000M,1984,Bronze
"SCHÖFISCH, René",GDR,Men,Speed skating,5000M,1984,Bronze
"SCHOLES, George",CAN,Men,Ice Hockey,Ice Hockey,1956,Bronze
"SCHOLZ, Lilly",AUT,Women,Figure skating,Pairs,1928,Silver
"SCHÖNAU, Horst",GDR,Men,Bobsleigh,Four-Man,1980,Bronze
"SCHÖNBÄCHLER, Andreas",SUI,Men,Freestyle Skiing,Aerials,1994,Gold
"SCHÖPF, Regina",AUT,Women,Alpine Skiing,Slalom,1956,Silver
"SCHOU-NILSEN, Laila",NOR,Women,Alpine Skiing,Alpine Combined,1936,Bronze
"SCHRANZ, Karl",AUT,Men,Alpine Skiing,Giant Slalom,1964,Silver
"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"SCHROETER, Reginald John",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"SCHROLL, Thomas",AUT,Men,Bobsleigh,Four-Man,1992,Gold
"SCHROTT, Karl",AUT,Men,Luge,Doubles,1980,Bronze
"SCHRÖTTLE, Martin",GER,Men,Ice Hockey,Ice Hockey,1932,Bronze
"SCHUBA, Beatrix",AUT,Women,Figure skating,Individual,1972,Gold
"SCHUBIGER, Otto",SUI,Men,Ice Hockey,Ice Hockey,1948,Bronze
"SCHUFFENHAUER, Bill",USA,Men,Bobsleigh,Four-Man,2002,Silver
"SCHULER, Laura",CAN,Women,Ice Hockey,Ice Hockey,1998,Silver
"SCHUMANN, Manfred",FRG,Men,Bobsleigh,Four-Man,1976,Bronze
"SCHUMANN, Manfred",FRG,Men,Bobsleigh,Two-Man,1976,Silver
"SCHUMANN, Margit",GDR,Women,Luge,Singles,1972,Bronze
"SCHUMANN, Margit",GDR,Women,Luge,Singles,1976,Gold
"SCHUSTER, Walter",AUT,Men,Alpine Skiing,Giant Slalom,1956,Bronze
"SCHUT, Johanna",NED,Women,Speed skating,3000M,1968,Gold
"SCHVUBOVA, Dagmar",TCH,Women,Cross Country Skiing,4X5KM Relay,1984,Silver
"SCHWAB, Thomas",FRG,Men,Luge,Doubles,1988,Bronze
"SCHWALLER, Andreas",SUI,Men,Curling,Curling,2002,Bronze
"SCHWALLER, Christof",SUI,Men,Curling,Curling,2002,Bronze
"SCHWARM, Balthasar",FRG,Men,Luge,Doubles,1976,Silver
"SCHWARZ, Elisabeth",AUT,Women,Figure skating,Pairs,1956,Gold
"SCHWARZ, Hubert",FRG,Men,Nordic Combined,Team,1988,Gold
"SCHWARZ, Wolfgang",AUT,Men,Figure skating,Individual,1968,Gold
"SCHWARZENBERGER, Reinhard",AUT,Men,Ski Jumping,K120 Team (90M),1998,Bronze
"SCOTT, Barbara Ann",CAN,Women,Figure skating,Individual,1948,Gold
"SCOTT, Beckie",CAN,Women,Cross Country Skiing,5Km Pursuit,2002,Gold
"SCOTT, Beckie",CAN,Women,Cross Country Skiing,Team Sprint,2006,Silver
"SEABROOK, Brent",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"SEARS, Peter",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"SECCO, Louis John",CAN,Men,Ice Hockey,Ice Hockey,1952,Gold
"SEDIN, Daniel",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"SEDIN, Daniel",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"SEDIN, Henrik",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"SEDIN, James Walter",USA,Men,Ice Hockey,Ice Hockey,1952,Silver
"SEIBT, Hellmut",AUT,Men,Figure skating,Individual,1952,Silver
"SEITZ, Beat",SUI,Men,Bobsleigh,Four-Man,1998,Silver
"SEIZINGER, Katja",GER,Women,Alpine Skiing,Super-G,1992,Bronze
"SEIZINGER, Katja",GER,Women,Alpine Skiing,Downhill,1994,Gold
"SEIZINGER, Katja",GER,Women,Alpine Skiing,Alpine Combined,1998,Gold
"SEIZINGER, Katja",GER,Women,Alpine Skiing,Downhill,1998,Gold
"SEIZINGER, Katja",GER,Women,Alpine Skiing,Giant Slalom,1998,Bronze
"SELANNE, Teemu",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"SELANNE, Teemu",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"SELANNE, Teemu",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"SELANNE, Teemu",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"SELEZNYOVA, Larisa",URS,Women,Figure skating,Pairs,1984,Bronze
"SELIN, Maria",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"SELIVERSTOV, Alexei",RUS,Men,Bobsleigh,Four-Man,2006,Silver
"SEMERARO, Domenico",SUI,Men,Bobsleigh,Four-Man,1994,Silver
"SEMERENKO, Valj",UKR,Women,Biathlon,4X6KM Relay,2014,Gold
"SEMERENKO, Vita",UKR,Women,Biathlon,4X6KM Relay,2014,Gold
"SEMERENKO, Vita",UKR,Women,Biathlon,7.5KM,2014,Bronze
"SEMJONOV, Anatoli",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"SENDEL, Peter",GER,Men,Biathlon,4X7.5KM Relay,1998,Gold
"SENDEL, Peter",GER,Men,Biathlon,4X7.5KM Relay,2002,Silver
"SENN, Reinhold",AUT,Men,Luge,Doubles,1964,Silver
"SEO, Ho-Jin",KOR,Men,Short Track Speed Skating,5000M Relay,2006,Gold
"SEROCZYNSKA, Elwira",POL,Women,Speed skating,1500M,1960,Silver
"SERWA, Kelsey",CAN,Women,Freestyle Skiing,Ski Cross,2014,Silver
"SEVCIK, Frantisek",TCH,Men,Ice Hockey,Ice Hockey,1968,Silver
"SEVERIN, E.-O.",SWE,Men,Curling,Curling,1924,Silver
"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Ice Hockey,1924,Bronze
"SEYFERT, Gabriele",GDR,Women,Figure skating,Individual,1968,Silver
"SEYFFARTH, Ake",SWE,Men,Speed skating,10000M,1948,Gold
"SEYFFARTH, Ake",SWE,Men,Speed skating,1500M,1948,Silver
"SHABALIN, Maxim",RUS,Men,Figure skating,Ice Dancing,2010,Bronze
"SHADRIN, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1972,Gold
"SHADRIN, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1976,Gold
"SHAKRAY, Sergey",URS,Men,Figure skating,Pairs,1980,Silver
"SHALIMOV, Viktor",URS,Men,Ice Hockey,Ice Hockey,1976,Gold
"SHALNA, Alguimantas",URS,Men,Biathlon,4X7.5KM Relay,1984,Gold
"SHANAHAN, Brendan",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"SHARP, Doug",USA,Men,Bobsleigh,Four-Man,2002,Bronze
"SHARP, Patrick",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"SHAUGHNESSY, Francis John",USA,Men,Ice Hockey,Ice Hockey,1936,Bronze
"SHEA, Jim",USA,Men,Skeleton,Individual,2002,Gold
"SHEA, John A.",USA,Men,Speed skating,1500M,1932,Gold
"SHEA, John A.",USA,Men,Speed skating,500M,1932,Gold
"SHEEHY, Timothy",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"SHEER, Gordon",USA,Men,Luge,Doubles,1998,Silver
"SHELJUKHIN, Anatolii",URS,Men,Cross Country Skiing,4X10KM Relay,1960,Bronze
"SHEN, Xue",CHN,Women,Figure skating,Pairs,2002,Bronze
"SHEN, Xue",CHN,Women,Figure skating,Pairs,2006,Bronze
"SHEN, Xue",CHN,Women,Figure skating,Pairs,2010,Gold
"SHEWCHUK, Tammy Lee",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"SHI, Jingnan",CHN,Men,Short Track Speed Skating,5000M Relay,2014,Bronze
"SHIFFRIN, Mikaela",USA,Women,Alpine Skiing,Slalom,2014,Gold
"SHIKHOVA, Yekaterina",RUS,Women,Speed skating,Team Pursuit,2014,Bronze
"SHILKOV, Boris",URS,Men,Speed skating,5000M,1956,Gold
"SHIM, Suk Hee",KOR,Women,Short Track Speed Skating,1000M,2014,Bronze
"SHIM, Suk Hee",KOR,Women,Short Track Speed Skating,1500M,2014,Silver
"SHIM, Suk Hee",KOR,Women,Short Track Speed Skating,3000M Relay,2014,Gold
"SHIMER, Brian",USA,Men,Bobsleigh,Four-Man,2002,Bronze
"SHIMIZU, Hiroyasu",JPN,Men,Speed skating,1000M,1998,Bronze
"SHIMIZU, Hiroyasu",JPN,Men,Speed skating,500M,1998,Gold
"SHIMIZU, Hiroyasu",JPN,Men,Speed skating,500M,2002,Silver
"SHIMIZU, Reruhi",JPN,Men,Ski Jumping,Teams,2014,Bronze
"SHIPULIN, Anton",RUS,Men,Biathlon,4X7.5KM Relay,2010,Bronze
"SHIPULIN, Anton",RUS,Men,Biathlon,4X7.5KM Relay,2014,Gold
"SHIVE, Natalya",URS,Women,Speed skating,500M,1984,Bronze
"SHNAPIR, Simon",USA,Men,Figure skating,Team,2014,Bronze
"SHTALENKOV, Mikhail",EUN,Men,Ice Hockey,Ice Hockey,1992,Gold
"SHTALENKOV, Mikhail",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"SHUMILOVA, Ekaterina",RUS,Women,Biathlon,4X6KM Relay,2014,Silver
"SHUPLETSOV, Sergei",RUS,Men,Freestyle Skiing,Moguls,1994,Silver
"SHUSTER, John",USA,Men,Curling,Curling,2006,Bronze
"SHUVALOV, Viktor",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"SICS, Andris",LAT,Men,Luge,Doubles,2010,Silver
"SICS, Andris",LAT,Men,Luge,Doubles,2014,Bronze
"SICS, Andris",LAT,Men,Luge,Mixed Relay,2014,Bronze
"SICS, Juris",LAT,Men,Luge,Doubles,2010,Silver
"SICS, Juris",LAT,Men,Luge,Doubles,2014,Bronze
"SICS, Juris",LAT,Men,Luge,Mixed Relay,2014,Bronze
"SIDELNIKOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1976,Gold
"SIDKO, Alena",RUS,Women,Cross Country Skiing,Sprint 1.5KM,2006,Bronze
"SIDORENKOV, Genrikh",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"SIDORENKOV, Genrikh",URS,Men,Ice Hockey,Ice Hockey,1960,Bronze
"SIDOROVA, Tatyana",URS,Women,Speed skating,500M,1964,Bronze
"SIDOROVA, Yevgeniya",URS,Women,Alpine Skiing,Slalom,1956,Bronze
"SIEBERT, Klaus",GDR,Men,Biathlon,4X7.5KM Relay,1980,Silver
"SIGFRIDSSON, Margaretha",SWE,Women,Curling,Curling,2014,Silver
"SIKHARULIDZE, Anton",RUS,Men,Figure skating,Pairs,1998,Silver
"SIKHARULIDZE, Anton",RUS,Men,Figure skating,Pairs,2002,Gold
"SIKOLOVA, Helena",TCH,Women,Cross Country Skiing,5KM,1972,Bronze
"SIKORA, Tomasz",POL,Men,Biathlon,15KM Mass Start,2006,Silver
"SIKVELAND, Annette",NOR,Women,Biathlon,4X7.5KM Relay,1998,Bronze
"SILFVERBERG, Jakob",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"SILK, David",USA,Men,Ice Hockey,Ice Hockey,1980,Gold
"SILVENNOINEN, Lauri",FIN,Men,Cross Country Skiing,4X10KM Relay,1948,Silver
"SIMASHEV, Fyodor",URS,Men,Cross Country Skiing,15KM,1972,Silver
"SIMASHEV, Fyodor",URS,Men,Cross Country Skiing,4X10KM Relay,1972,Gold
"SIMMEN, Gian",SUI,Men,Snowboard,Half-Pipe,1998,Gold
"SIMPSON, Harold",CAN,Men,Ice Hockey,Ice Hockey,1932,Gold
"SINCLAIR, Alexander",CAN,Men,Ice Hockey,Ice Hockey,1936,Silver
"SINDEL, Jaromir",TCH,Men,Ice Hockey,Ice Hockey,1984,Silver
"SINDEN, Harry",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"SIORPAES, Gildo",ITA,Men,Bobsleigh,Four-Man,1964,Bronze
"SIORPAES, Sergio",ITA,Men,Bobsleigh,Four-Man,1964,Bronze
"SIORPAES, Sergio",ITA,Men,Bobsleigh,Two-Man,1964,Bronze
"SIRVIO, Saija",FIN,Women,Ice Hockey,Ice Hockey,2010,Bronze
"SIVERTSEN, Sture",NOR,Men,Cross Country Skiing,4X10KM Relay,1994,Silver
"SIVERTSEN, Sture",NOR,Men,Cross Country Skiing,50KM,1994,Bronze
"SIVERTSEN, Sture",NOR,Men,Cross Country Skiing,4X10KM Relay,1998,Gold
"SJOLANDER, Therese",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"SJOLANDER, Therese",SWE,Women,Ice Hockey,Ice Hockey,2006,Silver
"SKARD, Halldor",NOR,Men,Nordic Combined,Team,1998,Gold
"SKARDINO, Nadezhda",BLR,Women,Biathlon,15KM,2014,Bronze
"SKARI, Bente",NOR,Women,Cross Country Skiing,4X5KM Relay,1998,Silver
"SKARI, Bente",NOR,Women,Cross Country Skiing,5KM,1998,Bronze
"SKARI, Bente",NOR,Women,Cross Country Skiing,10KM,2002,Gold
"SKARI, Bente",NOR,Women,Cross Country Skiing,30KM,2002,Bronze
"SKARI, Bente",NOR,Women,Cross Country Skiing,4X5KM Relay,2002,Silver
"SKINNER, Julie",CAN,Women,Curling,Curling,2002,Bronze
"SKJELBREID, Ann Elen",NOR,Women,Biathlon,4X7.5KM Relay,1998,Bronze
"SKJELBREID, Ann Elen",NOR,Women,Biathlon,4X7.5KM Relay,2002,Silver
"SKJELDAL, Kristen",NOR,Men,Cross Country Skiing,4X10KM Relay,1992,Gold
"SKJELDAL, Kristen",NOR,Men,Cross Country Skiing,30KM Mass Start,2002,Bronze
"SKJELDAL, Kristen",NOR,Men,Cross Country Skiing,4X10KM Relay,2002,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,1500M,1960,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,3000M,1960,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,1000M,1964,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,1500M,1964,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,3000M,1964,Gold
"SKOBLIKOVA, Lidiya",URS,Women,Speed skating,500M,1964,Gold
"SKOBOV, Yuri",URS,Men,Cross Country Skiing,4X10KM Relay,1972,Gold
"SKOBREV, Ivan",RUS,Men,Speed skating,10000M,2010,Silver
"SKOBREV, Ivan",RUS,Men,Speed skating,5000M,2010,Bronze
"SKOFTERUD, Vibeke W",NOR,Women,Cross Country Skiing,4X5KM Relay,2010,Gold
"SKOKOVA, Yuliya",RUS,Women,Speed skating,Team Pursuit,2014,Bronze
"SKUTNABB, Julius",FIN,Men,Speed skating,10000M,1924,Gold
"SKUTNABB, Julius",FIN,Men,Speed skating,5000M,1924,Silver
"SKUTNABB, Julius",FIN,Men,Speed skating,Combined (4 Events),1924,Bronze
"SKUTNABB, Julius",FIN,Men,Speed skating,5000M,1928,Silver
"SKVORTSOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"SKVORTSOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"SLAMA, Miroslav",TCH,Men,Ice Hockey,Ice Hockey,1948,Silver
"SLATER, Cyril",CAN,Men,Ice Hockey,Ice Hockey,1924,Gold
"SLATTVIK, Simon",NOR,Men,Nordic Combined,Individual,1952,Gold
"SLEGR, Jiri",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"SLEGR, Jiri",CZE,Men,Ice Hockey,Ice Hockey,1998,Gold
"SLEPTSOVA, Svetlana",RUS,Women,Biathlon,4X6KM Relay,2010,Gold
"SLEVOGT, Marquardt",GER,Men,Ice Hockey,Ice Hockey,1932,Bronze
"SLOAN, Anna",GBR,Women,Curling,Curling,2014,Bronze
"SLUTSKAYA, Irina",RUS,Women,Figure skating,Individual,2002,Silver
"SLUTSKAYA, Irina",RUS,Women,Figure skating,Individual,2006,Bronze
"SLY, Darryl Hayward",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"SMALL, Irving Wheeler",USA,Men,Ice Hockey,Ice Hockey,1924,Silver
"SMALL, Sami Jo",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"SMEEKENS, Jan",NED,Men,Speed skating,500M,2014,Silver
"SMEHLIK, Richard",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"SMEHLIK, Richard",CZE,Men,Ice Hockey,Ice Hockey,1998,Gold
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,10KM,1976,Gold
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,4X5KM Relay,1976,Gold
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,5KM,1976,Silver
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,4X5KM Relay,1980,Silver
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,5KM,1980,Gold
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,10KM,1984,Silver
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,20KM,1984,Silver
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,10KM,1988,Silver
"SMETANINA, Raisa",URS,Women,Cross Country Skiing,20KM,1988,Bronze
"SMETANINA, Raisa",EUN,Women,Cross Country Skiing,4X5KM Relay,1992,Gold
"SMID, Ladislav",TCH,Men,Ice Hockey,Ice Hockey,1964,Bronze
"SMIGUN-VAEHI, Kristina",EST,Women,Cross Country Skiing,10KM,2010,Silver
